fetch_id|doc_slug|source_url|fetch_timestamp|http_status|page_title|html_file_path|text_file_path|fetch_notes
fetch-3ad16f75df04|law-1988-28|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=322&LegislationType=2&isMod=false|2026-03-14T18:10:17.008798+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1988-28_20260314_181017.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1988-28_20260314_181017.txt|
fetch-93602c58a35a|law-1988-29|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=204&LegislationType=2&isMod=false|2026-03-14T18:10:31.724143+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1988-29_20260314_181031.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1988-29_20260314_181031.txt|
fetch-cc319b18fe9d|law-1988-30|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=3440&LegislationType=2&isMod=false|2026-03-14T18:10:43.560472+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1988-30_20260314_181043.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1988-30_20260314_181043.txt|
fetch-d336e9350570|law-1988-31|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=633&LegislationType=2&isMod=false|2026-03-14T18:11:02.619528+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1988-31_20260314_181102.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1988-31_20260314_181102.txt|
fetch-dbd7070dd495|law-1988-34|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=556&LegislationType=2&isMod=false|2026-03-14T18:11:17.669248+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1988-34_20260314_181117.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1988-34_20260314_181117.txt|
fetch-364140daa196|law-1987-4|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=849&LegislationType=2&isMod=false|2026-03-14T18:11:35.623270+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1987-4_20260314_181135.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1987-4_20260314_181135.txt|
fetch-d56925e4ef76|law-1987-5|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=1074&LegislationType=2&isMod=false|2026-03-14T18:11:49.220686+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1987-5_20260314_181149.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1987-5_20260314_181149.txt|
fetch-88b9189b7861|law-1987-6|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=148&LegislationType=2&isMod=false|2026-03-14T18:12:05.875765+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1987-6_20260314_181205.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1987-6_20260314_181205.txt|
fetch-b0f3c6b3138e|law-1987-7|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=2694&LegislationType=2&isMod=false|2026-03-14T18:12:21.135861+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1987-7_20260314_181221.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1987-7_20260314_181221.txt|
fetch-4bf53d3c2e3b|law-1983-10|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=925&LegislationType=2&isMod=false|2026-03-14T18:12:38.453456+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-10_20260314_181238.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-10_20260314_181238.txt|
fetch-1fd16ae4f792|law-1983-11|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=139&LegislationType=2&isMod=false|2026-03-14T18:12:52.742995+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-11_20260314_181252.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-11_20260314_181252.txt|
fetch-af22e23f857a|law-1983-12|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=1101&LegislationType=2&isMod=false|2026-03-14T18:13:12.205844+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-12_20260314_181312.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-12_20260314_181312.txt|
fetch-d1b73ac0276a|law-1983-13|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=819&LegislationType=2&isMod=false|2026-03-14T18:13:29.821249+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-13_20260314_181329.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-13_20260314_181329.txt|
fetch-8f3139b8575d|law-1983-14|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=468&LegislationType=2&isMod=false|2026-03-14T18:13:46.177651+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-14_20260314_181346.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-14_20260314_181346.txt|
fetch-66882edd78a2|law-1983-16|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=941&LegislationType=2&isMod=false|2026-03-14T18:14:03.370902+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-16_20260314_181403.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-16_20260314_181403.txt|
fetch-cd2fdd17371c|law-1983-17|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=985&LegislationType=2&isMod=false|2026-03-14T18:14:17.592456+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-17_20260314_181417.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-17_20260314_181417.txt|
fetch-7f1b20d12736|law-1983-18|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=187&LegislationType=2&isMod=false|2026-03-14T18:14:31.002151+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-18_20260314_181431.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-18_20260314_181431.txt|
fetch-46ca0ae3a093|law-1983-19|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=1073&LegislationType=2&isMod=false|2026-03-14T18:14:42.747746+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-19_20260314_181442.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-19_20260314_181442.txt|
fetch-1d75c8cdaeb3|law-1983-23|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=28&LegislationType=2&isMod=false|2026-03-14T18:14:55.176972+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1983-23_20260314_181455.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1983-23_20260314_181455.txt|
fetch-0d2ccb6671ec|law-1977-18|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=646&LegislationType=2&isMod=false|2026-03-14T18:15:07.010105+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1977-18_20260314_181507.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1977-18_20260314_181507.txt|
fetch-3ab1712df47b|law-1977-22|https://www.lob.gov.jo/?v=2&lang=ar#!/LegislationDetails?LegislationID=853&LegislationType=2&isMod=false|2026-03-14T18:15:18.797385+00:00|200|ديوان التشريع والرأي|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/html/law-1977-22_20260314_181518.html|/Users/yamanobiedat/Desktop/projects/new-project/data/raw/text/law-1977-22_20260314_181518.txt|
